
President 	 PER
Bush 	 PER
said 	 O
nations 	 O
around 	 O
the 	 O
world 	 O
need 	 O
to 	 O
stand 	 O
with 	 O
moderate 	 O
reformers 	 O
in 	 O
the 	 O
MIddle 	 O
East 	 O
. 	 O
He 	 O
said 	 O
the 	 O
world 	 O
must 	 O
seek 	 O
stability 	 O
in 	 O
the 	 O
region 	 O
through 	 O
the 	 O
establishment 	 O
of 	 O
free 	 O
and 	 O
just 	 O
societies 	 O
. 	 O
Mr. 	 PER
Bush 	 PER
also 	 O
pledged 	 O
to 	 O
continue 	 O
to 	 O
support 	 O
the 	 O
government 	 ORG
of 	 O
Iraq 	 COU
in 	 O
its 	 O
struggle 	 O
with 	 O
terrorists 	 O
. 	 O
In 	 O
addition 	 O
, 	 O
the 	 PER
president 	 PER
said 	 O
Iran 	 COU
must 	 O
abandon 	 O
what 	 O
he 	 O
called 	 O
its 	 O
ambition 	 O
for 	 O
nuclear 	 O
weapons 	 O
. 	 O
He 	 O
said 	 O
the 	 COU
United 	 COU
States 	 COU
is 	 O
working 	 O
for 	 O
a 	 O
diplomatic 	 O
solution 	 O
to 	 O
the 	 O
issue 	 O
, 	 O
and 	 O
said 	 O
the 	 O
U.S. 	 COU
does 	 O
not 	 O
oppose 	 O
a 	 O
truly 	 O
peaceful 	 O
nuclear 	 O
program 	 O
for 	 O
Iran 	 COU
. 	 O

An 	 O
attempt 	 O
to 	 O
address 	 O
America 	 COU
's 	 O
weight 	 O
problem 	 O
has 	 O
run 	 O
into 	 O
trouble 	 O
in 	 O
New 	 CIT
York 	 CIT
. 	 O
Health 	 ORG
officials 	 ORG
are 	 O
trying 	 O
to 	 O
increase 	 O
the 	 O
city 	 O
's 	 O
consumption 	 O
of 	 O
fruits 	 O
and 	 O
vegetables 	 O
, 	 O
especially 	 O
in 	 O
less 	 O
affluent 	 O
neighborhoods 	 O
where 	 O
obesity 	 O
rates 	 O
are 	 O
higher 	 O
. 	 O
Given 	 O
that 	 O
more 	 O
than 	 O
half 	 O
of 	 O
New 	 CIT
York 	 CIT
adults 	 O
are 	 O
overweight 	 O
or 	 O
obese 	 O
- 	 O
and 	 O
an 	 O
estimated 	 O
700,000 	 O
suffer 	 O
from 	 O
diabetes 	 O
- 	 O
the 	 O
argument 	 O
is 	 O
not 	 O
over 	 O
the 	 O
need 	 O
