
Organizers 	 O
of 	 O
the 	 O
vote 	 O
by 	 O
Iraqi 	 O
expatriates 	 O
say 	 O
some 	 O
two-thirds 	 O
of 	 O
eligable 	 O
Iraqis 	 O
living 	 O
abroad 	 O
have 	 O
participated 	 O
in 	 O
the 	 O
historic 	 O
election 	 O
so 	 O
far 	 O
. 	 O
The 	 ORG
International 	 ORG
Organization 	 ORG
for 	 ORG
Migration 	 ORG
said 	 O
Sunday 	 O
more 	 O
than 	 O
186,000 	 O
Iraqis 	 O
voted 	 O
Friday 	 O
and 	 O
Saturday 	 O
in 	 O
the 	 O
Middle 	 O
East 	 O
, 	 O
North 	 O
America 	 O
, 	 O
Australia 	 COU
and 	 O
Western 	 O
Europe 	 O
. 	 O
The 	 O
three-day 	 O
process 	 O
runs 	 O
until 	 O
the 	 O
end 	 O
of 	 O
Sunday 	 O
across 	 O
36 	 O
cities 	 O
in 	 O
14 	 O
nations 	 O
, 	 O
including 	 O
Australia 	 COU
, 	 O
Britain 	 COU
, 	 O
Canada 	 COU
, 	 O
Denmark 	 COU
, 	 O
France 	 COU
, 	 O
Germany 	 COU
, 	 O
Iran 	 COU
, 	 O
Jordan 	 COU
, 	 O
the 	 COU
Netherlands 	 COU
, 	 O
Sweden 	 COU
, 	 O
Syria 	 COU
, 	 O
Turkey 	 COU
, 	 O
United 	 COU
Arab 	 COU
Emirates 	 COU
and 	 O
the 	 COU
United 	 COU
States 	 COU
. 	 O

There 	 O
has 	 O
been 	 O
some 	 O
positive 	 O
news 	 O
coming 	 O
out 	 O
of 	 O
the 	 O
International 	 ORG
Conference 	 ORG
on 	 ORG
Alzheimer 	 ORG
's, 	 ORG
held 	 O
July 	 O
26-31 	 O
in 	 O
Chicago 	 CIT
, 	 O
Illinois 	 COU
. 	 O
Two 	 O
preliminary 	 O
studies 	 O
show 	 O
progress 	 O
with 	 O
use 	 O
of 	 O
an 	 O
antihistamine 	 O
and 	 O
a 	 O
nasal 	 O
spray 	 O
. 	 O
But 	 O
researchers 	 O
say 	 O
lifestyle 	 O
factors 	 O
and 	 O
heredity 	 O
also 	 O
play 	 O
a 	 O
crucial 	 O
role 	 O
in 	 O
determining 	 O
whether 	 O
you 	 O
develop 	 O
Alzheimer 	 O
's 	 O
. 	 O
VOA 	 ORG
's 	 O
Melinda 	 PER
Smith 	 PER
has 	 O
more 	 O
. 	 O

Japanese 	 O
officials 	 O
have 	 O
unveiled 	 O
plans 	 O
to 	 O
cope 	 O
with 	 O
a 	 O
possible 	 O
bird 	 ANI
flu 	 O
epidemic 	 O
. 	 O
The 	 O
action 	 O
plan 	 O
released 	 O
by 	 O
the 	 O
Japanese 	 O
health 	 O
ministry 	 O
Monday 	 O
anticipates 	 O
that 	 O
a 	 O
quarter 	 O
of 	 O
the 	 O
population 	 O
, 	 O
some 	 O
32 	 O
million 	 O
people 	 O
, 	 O
could 	 O
become 	 O
infected 	 O
and 	 O
that 	 O
as 	 O
many 	 O
as 	 O
640 	 O
people 	 O
could 	 O
die 	 O
. 	 O
The 	 O
Japanese 	 O
plan 	 O
would 	 O
shut 	 O
down 	 O
schools 	 O
, 	 O
ban 	 O
large 	 O
gatherings 	 O
and 	 O
declare 	 O
a 	 O
state 	 O
of 	 O
emergency 	 O
in 	 O
the 	 O
case 	 O
of 	 O
a 	 O
severe 	 O
flu 	 O
epidemic 	 O
. 	 O
The 	 O
government 	 O
will 	 O
also 	 O
increase 	 O
stockpiles 	 O
of 	 O
the 	 O
anti-viral 	 O
drug 	 O
Tamiflu 	 O
. 	 O
Japan 	 COU
has 	 O
reported 	 O
no 	 O
human 	 O
deaths 	 O
from 	 O
bird 	 ANI
flu 	 O
so 	 O
far 	 O
. 	 O
GOODY 	 ORG
PRODUCTS 	 ORG
Inc 	 ORG
. 	 O
cut 	 O
its 	 O
quarterly 	 O
dividend 	 O
to 	 O
five 	 O
cents 	 O
a 	 O
share 	 O
from 	 O
11.5 	 O
cents 	 O
a 	 O
share 	 O
. 	 O
The 	 O
reduced 	 O
dividend 	 O
is 	 O
payable 	 O
Jan 	 O
. 	 O
2 	 O
to 	 O
stock 	 O
of 	 O
record 	 O
Dec 	 O
. 	 O
15 	 O
. 	 O
The 	 O
Kearny 	 CIT
, 	 O
N.J.-based 	 O
maker 	 O
of 	 O
hair 	 O
accessories 	 O
and 	 O
other 	 O
cosmetic 	 O
products 	 O
said 	 O
it 	 O
cut 	 O
the 	 O
dividend 	 O
due 	 O
to 	 O
its 	 O
third-quarter 	 O
loss 	 O
of 	 O
$ 	 O
992 	 O
, 	 O
or 	 O
15 	 O
cents 	 O
a 	 O
share 	 O
. 	 O
In 	 O
the 	 O
year-ago 	 O
quarter 	 O
, 	 O
the 	 O
company 	 O
reported 	 O
net 	 O
income 	 O
of 	 O
$ 	 O
1.9 	 O
million 	 O
, 	 O
or 	 O
29 	 O
cents 	 O
a 	 O
share 	 O
. 	 O
The 	 O
company 	 O
also 	 O
adopted 	 O
an 	 O
anti-takeover 	 O
plan 	 O
. 	 O

The 	 O
American 	 O
fast 	 O
food 	 O
chain 	 O
KFC 	 ORG
is 	 O
famous 	 O
around 	 O
the 	 O
world 	 O
for 	 O
its 	 O
fried 	 O
chicken 	 O
. 	 O
KFC 	 ORG
stands 	 O
for 	 O
Kentucky 	 ORG
Fried 	 ORG
Chicken 	 ORG
and 	 O
founded 	 O
by 	 O
Harlan 	 PER
David 	 PER
Sanders 	 PER
, 	 O
better 	 O
know 	 O
to 	 O
patrons 	 O
as 	 O
Colonel 	 PER
Sanders 	 PER
. 	 O
In 	 O
Kabul 	 CIT
, 	 O
Afghanistan 	 COU
, 	 O
another 	 O
KFC 	 ORG
restaurant 	 O
is 	 O
doing 	 O
a 	 O
brisk 	 O
business 	 O
. 	 O
But 	 O
this 	 O
KFC 	 ORG
is 	 O
short 	 O
for 	 O
Kabul 	 ORG
Fried 	 ORG
Chicken 	 ORG
and 	 O
serves 	 O
kabobs 	 O
and 	 O
pizza 	 O
alongside 	 O
the 	 O
chicken 	 O
. 	 O
Rahimgul 	 PER
Sarawan 	 PER
reports 	 O
from 	 O
Kabul 	 CIT
that 	 O
while 	 O
this 	 O
KFC 	 ORG
was 	 O
inspired 	 O
by 	 O
Colonel 	 PER
Sanders 	 PER
, 	 O
that 	 O
is 	 O
where 	 O
the 	 O
association 	 O
ends 	 O
. 	 O
Brian 	 PER
Allen 	 PER
narrates 	 O
. 	 O

Authorities 	 O
in 	 O
Saudi 	 COU
Arabia 	 COU
say 	 O
a 	 O
fourth 	 O
French 	 O
national 	 O
has 	 O
died 	 O
of 	 O
wounds 	 O
suffered 	 O
in 	 O
an 	 O
attack 	 O
in 	 O
northwestern 	 O
Saudi 	 COU
Arabia 	 COU
. 	 O
Officials 	 O
say 	 O
a 	 O
teenager 	 O
died 	 O
in 	 O
a 	 O
hospital 	 O
Tuesday 	 O
of 	 O
wounds 	 O
sustained 	 O
when 	 O
