China 	 COU
's 	 O
state-run 	 O
media 	 O
say 	 O
a 	 O
19-year-old 	 O
Chinese 	 O
soldier 	 O
has 	 O
been 	 O
hospitalized 	 O
with 	 O
bird 	 ANI
flu 	 O
. 	 O
It 	 O
is 	 O
not 	 O
immediately 	 O
clear 	 O
if 	 O
the 	 O
soldier 	 O
has 	 O
been 	 O
infected 	 O
with 	 O
the 	 O
often 	 O
deadly 	 O
H5N1 	 O
strain 	 O
of 	 O
bird 	 ANI
flu 	 O
. 	 O
Fifteen 	 O
people 	 O
have 	 O
died 	 O
in 	 O
China 	 COU
since 	 O
the 	 O
outbreak 	 O
in 	 O
2003 	 O
. 	 O
Worldwide 	 NAT
, 	 O
the 	 O
virus 	 O
has 	 O
killed 	 O
186 	 O
people 	 O
, 	 O
mostly 	 O
in 	 O
Southeast 	 NAT
Asia 	 NAT
. 	 O
The 	 O
virus 	 O
is 	 O
mainly 	 O
passed 	 O
on 	 O
to 	 O
humans 	 ANI
through 	 O
contact 	 O
with 	 O
infected 	 O
poultry 	 ANI
. 	 O
But 	 O
experts 	 O
fear 	 O
the 	 O
virus 	 O
could 	 O
spark 	 O
a 	 O
pandemic 	 O
if 	 O
it 	 O
mutates 	 O
into 	 O
a 	 O
form 	 O
easily 	 O
transmissible 	 O
upon 	 O
human 	 ANI
to 	 O
human 	 ANI
contact 	 O
. 	 O

The 	 O
trial 	 O
of 	 O
Saddam 	 PER
Hussein 	 PER
and 	 O
seven 	 O
co-defendants 	 O
has 	 O
resumed 	 O
in 	 O
Baghdad 	 CIT
after 	 O
a 	 O
five-day 	 O
break 	 O
. 	 O
The 	 O
prosecution 	 O
is 	 O
presenting 	 O
experts 	 O
Monday 	 O
, 	 O
in 	 O
an 	 O
effort 	 O
to 	 O
confirm 	 O
signatures 	 O
of 	 O
the 	 O
former 	 O
Iraqi 	 O
leader 	 O
and 	 O
his 	 O
co-defendants 	 O
on 	 O
documents 	 O
related 	 O
to 	 O
the 	 O
crackdown 	 O
on 	 O
Shi'ites 	 O
in 	 O
the 	 O
1980 	 O
's 	 O
. 	 O
The 	 O
chief 	 O
judge 	 O
, 	 O
Raouf 	 PER
Abdel 	 PER
Rahman 	 PER
, 	 O
ruled 	 O
last 	 O
Wednesday 	 O
that 	 O
Saddam 	 PER
's 	 O
handwriting 	 O
was 	 O
authentic 	 O
on 	 O
documents 	 O
related 	 O
to 	 O
the 	 O
incident 	 O
. 	 O
The 	 O
ousted 	 O
Iraqi 	 O
dictator 	 O
and 	 O
the 	 O
seven 	 O
co-defendants 	 O
are 	 O
on 	 O
trial 	 O
for 	 O
the 	 O
1982 	 O
killing 	 O
of 	 O
more 	 O
than 	 O
140 	 O
Iraqi 	 O
Shi'ites 	 O
in 	 O
the 	 O
village 	 O
of 	 O
Dujail 	 CIT
. 	 O

A 	 O
bad 	 O
economy 	 O
can 	 O
impact 	 O
people 	 O
's 	 O
health 	 O
as 	 O
well 	 O
as 	 O
their 	 O
wealth 	 O
. 	 O
Carol 	 PER
Pearson 	 PER
reports 	 O
on 	 O
the 	 O
impact 	 O
plunging 	 O
stock 	 O
markets 	 O
are 	 O
