Argentina 	 COU
and 	 O
Spain 	 COU
have 	 O
agreed 	 O
to 	 O
pursue 	 O
a 	 O
strategic 	 O
alliance 	 O
to 	 O
strengthen 	 O
political 	 O
and 	 O
economic 	 O
ties 	 O
. 	 O
Argentine 	 O
President 	 O
Nestor 	 PER
Kirchner 	 PER
and 	 O
visiting 	 O
Spanish 	 O
Prime 	 O
Minister 	 O
Jose 	 PER
Luis 	 PER
Rodriguez 	 PER
Zapatero 	 PER
signed 	 O
the 	 O
agreement 	 O
Tuesday 	 O
in 	 O
Buenos 	 CIT
Aires 	 CIT
. 	 O
Earlier 	 O
this 	 O
week 	 O
, 	 O
Mr. 	 O
Zapatero 	 PER
met 	 O
with 	 O
Brazilian 	 O
President 	 O
Luiz 	 PER
Inacio 	 PER
Lula 	 PER
da 	 PER
Silva 	 PER
in 	 O
Brasilia 	 CIT
. 	 O
The 	 O
two 	 O
said 	 O
they 	 O
plan 	 O
to 	 O
strengthen 	 O
cooperation 	 O
in 	 O
social 	 O
development 	 O
, 	 O
construction 	 O
projects 	 O
and 	 O
other 	 O
fields 	 O
. 	 O
For 	 O
the 	 O
last 	 O
leg 	 O
of 	 O
his 	 O
South 	 O
American 	 O
trip 	 O
, 	 O
Mr. 	 O
Zapatero 	 PER
is 	 O
scheduled 	 O
to 	 O
fly 	 O
to 	 O
Chile 	 COU
Wednesday 	 O
to 	 O
meet 	 O
with 	 O
President 	 O
Ricardo 	 PER
Lagos 	 PER
. 	 O

Humanitarian 	 O
agencies 	 O
report 	 O
more 	 O
than 	 O
50 	 O
people 	 O
have 	 O
been 	 O
killed 	 O
in 	 O
floods 	 O
in 	 O
Pakistan 	 COU
brought 	 O
on 	 O
by 	 O
heavy 	 O
monsoon 	 O
rains 	 O
that 	 O
began 	 O
earlier 	 O
this 	 O
month 	 O
. 	 O
The 	 O
Red 	 ORG
Cross 	 ORG
says 	 O
50,000 	 O
people 	 O
have 	 O
been 	 O
affected 	 O
in 	 O
the 	 O
worst 	 O
hit 	 O
areas 	 O
in 	 O
the 	 O
province 	 O
of 	 O
Baluchistan 	 NAT
. 	 O
The 	 O
Pakistani 	 ORG
government 	 ORG
and 	 O
relief 	 O
organizations 	 O
are 	 O
pledging 	 O
food 	 O
and 	 O
supplies 	 O
to 	 O
help 	 O
those 	 O
displaced 	 O
by 	 O
the 	 O
flooding 	 O
. 	 O
But 	 O
there 	 O
are 	 O
concerns 	 O
that 	 O
worsening 	 O
weather 	 O
conditions 	 O
could 	 O
hamper 	 O
those 	 O
relief 	 O
efforts 	 O
. 	 O

World 	 O
oil 	 O
prices 	 O
declined 	 O
about 	 O
two 	 O
percent 	 O
in 	 O
Tuesday 	 O
's 	 O
trading 	 O
after 	 O
Chinese 	 O
oil 	 O
imports 	 O
slowed 	 O
and 	 O
a 	 O
report 	 O
on 	 O
the 	 O
U.S. 	 COU
economy 	 O
disappointed 	 O
investors 	 O
. 	 O
In 	 O
New 	 CIT
York 	 CIT
trading 	 O
, 	 O
the 	 O
price 	 O
of 	 O
crude 	 O
oil 	 O
fell 	 O
more 	 O
than 	 O
$ 	 O
2 	 O
to 	 O
$ 	 O
79.43. 	 O
A 	 O
report 	 O
on 	 O
declining 	 O
worker 	 O
productivity 	 O
in 	 O
the 	 O
United 	 COU
States 	 COU
prompted 	 O
investors 	 O
to 	 O
expect 	 O
less 	 O
demand 	 O
for 	 O
energy 	 O
, 	 O
which 	 O
would 	 O
lower 	 O
oil 	 O
prices 	 O
. 	 O
The 	 O
United 	 COU
States 	 COU
and 	 O
China 	 COU
are 	 O
the 	 O
world 	 O
's 	 O
two 	 O
largest 	 O
oil 	 O
consumers 	 O
. 	 O

Sixty 	 O
years 	 O
ago 	 O
, 	 O
fifteen-year 	 O
old 	 O
Roman 	 PER
Ferencevych 	 PER
lived 	 O
through 	 O
the 	 O
